car,person,frame,total,motorcycle,truck,kite,horse,bench,bus
6,3,613,623,1,0,0,0,0,0
6,4,614,625,1,0,0,0,0,0
5,4,615,625,1,0,0,0,0,0
6,4,616,627,1,0,0,0,0,0
5,4,617,627,1,0,0,0,0,0
6,4,618,629,1,0,0,0,0,0
5,4,619,629,1,0,0,0,0,0
4,4,620,629,1,0,0,0,0,0
4,4,621,630,1,0,0,0,0,0
3,5,622,631,1,0,0,0,0,0
4,5,623,632,0,0,0,0,0,0
3,4,624,632,1,0,0,0,0,0
4,4,625,634,1,0,0,0,0,0
3,4,626,634,1,0,0,0,0,0
3,5,627,636,1,0,0,0,0,0
4,3,628,636,1,0,0,0,0,0
5,3,629,638,1,0,0,0,0,0
6,4,630,641,1,0,0,0,0,0
5,4,631,641,1,0,0,0,0,0
6,5,632,645,1,1,0,0,0,0
7,4,633,647,2,1,0,0,0,0
6,4,634,645,1,0,0,0,0,0
6,5,635,648,2,0,0,0,0,0
7,5,636,650,2,0,0,0,0,0
6,5,637,650,2,0,0,0,0,0
6,2,638,648,2,0,0,0,0,0
7,4,639,652,2,0,0,0,0,0
5,3,640,650,2,0,0,0,0,0
7,3,641,653,2,0,0,0,0,0
7,3,642,654,2,0,0,0,0,0
7,3,643,655,2,0,0,0,0,0
6,3,644,655,2,0,0,0,0,0
4,3,645,655,3,0,0,0,0,0
3,2,646,653,2,0,0,0,0,0
2,2,647,653,2,0,0,0,0,0
3,2,648,656,3,0,0,0,0,0
3,2,649,657,3,0,0,0,0,0
3,2,650,658,3,0,0,0,0,0
2,2,651,657,2,0,0,0,0,0
2,2,652,659,3,0,0,0,0,0
3,3,653,662,3,0,0,0,0,0
8,3,654,667,2,0,0,0,0,0
7,4,655,668,2,0,0,0,0,0
6,4,656,668,2,0,0,0,0,0
7,3,657,669,2,0,0,0,0,0
6,3,658,669,2,0,0,0,0,0
6,3,659,670,2,0,0,0,0,0
6,3,660,671,2,0,0,0,0,0
7,3,661,673,2,0,0,0,0,0
7,3,662,675,2,1,0,0,0,0
7,2,663,674,2,0,0,0,0,0
7,2,664,675,2,0,0,0,0,0
6,2,665,676,2,1,0,0,0,0
5,2,666,677,2,2,0,0,0,0
6,2,667,680,2,3,0,0,0,0
6,2,668,681,2,3,0,0,0,0
6,2,669,681,2,2,0,0,0,0
6,3,670,682,2,1,0,0,0,0
5,2,671,681,2,1,0,0,0,0
5,2,672,682,2,1,0,0,0,0
5,2,673,683,2,1,0,0,0,0
4,2,674,684,2,2,0,0,0,0
5,2,675,685,2,1,0,0,0,0
4,2,676,684,2,0,0,0,0,0
5,2,677,686,2,0,0,0,0,0
6,2,678,689,2,1,0,0,0,0
6,2,679,689,2,0,0,0,0,0
5,2,680,689,2,0,0,0,0,0
5,2,681,690,2,0,0,0,0,0
4,2,682,690,2,0,0,0,0,0
2,2,683,689,2,0,0,0,0,0
3,2,684,692,3,0,0,0,0,0
2,2,685,691,2,0,0,0,0,0
3,2,686,693,2,0,0,0,0,0
4,2,687,695,2,0,0,0,0,0
4,2,688,696,2,0,0,0,0,0
